"velum2US_Vokal_min","alvUS_Vokal_min","alv2US_Vokal_min","alvUS_Coda_max","alv2US_Coda_max","alvUS_Coda_maxpos","alv2US_Coda_maxpos","trial_number","velum2US_velumopening_gesture_onset","velum2US_velumopening_gesture_offset","velum2US_velumopening_maxcon_onset","Vokal_on","Coda_on","Vokal_off","Coda_off","Vokal_dur","Coda_dur","velumopening_gesture_on","velumopening_maxvel_on","velumopening_maxcon_on","velumopening_gesture_off","velumopening_maxvel_off","velumopening_gesture_dur","velumopening_maxvel_dur","speaker","label","prev","vowel","post","stress","nasality","sent_dur","n_syll","sp_rate","word","vowel.integ","accel.min","quad.coef","kurtosis","crest.fact","stiff.ons","stiff.off"
0.110838716239735,0.398449960656153,0.532695174743608,0.75815069855203,0.970564555570164,0.909689468048218,0.91755098386568,31,0.103341143668758,0.168414970639703,0.54224718814972,0.732090449821646,0.83814,0.83814,0.940235323848847,0.106049550178354,0.102095323848847,0.720977977479636,0.77922,0.85914,1.01550925666485,0.93906,0.294531279185209,0.15984,"S03","?__E_nd_@___D_B03/s","?__","E_","nd_@","D","nasal",1.26947925051748,5,3.93862286284856,"?__E_",15.6631010141556,-0.000634733923416286,-0.690055557976752,2.85366769195012,1.88664894072592,14.1211195413642,17.7880647603144
0.143663504990059,0.244662453242142,0.357863386069348,0.780571817735477,0.959248271526071,0.999,0.999,148,0.152221515213529,0.176906117318163,0.425819371685238,0.771572404365783,0.91398,0.91398,1.00175960111268,0.142407595634217,0.0877796011126799,0.807578245260381,0.85914,0.93906,1.07298762096378,1.03896,0.265409375703404,0.17982,"S03","?__E_nt_@___A_B11/s","?__","E_","nt_@","A","nasal",1.17462593962012,5,4.25667425803404,"?__E_",16.3719118427991,-0.000347888094956728,-0.47361090383719,2.13210830479201,1.77814490681255,16.3174929796268,14.7834374852389
0.0860897185612888,0.70626884159447,0.829371632927236,0.802424011786435,0.948844559685056,1.17205496192355,1.07935384793791,162,0.0977440841032415,0.147892640730778,0.402424169335186,0.90394,1.0369,1.0369,1.22888773503774,0.13296,0.191987735037744,0.920232914143189,0.966423196535498,1.06133025519841,1.17704040123271,1.14281537030054,0.256807487089521,0.176392173765044,"S03","S__i:nst____A_B12/s","S__","i:","nst_","A","nasal",1.35533014641086,5,3.68913804008626,"S__i:",15.5530535186241,-0.0002939618849781,-0.533287437142165,2.9049960381583,1.63770981119349,14.3589849242593,21.1878228589945
0.0726237162427958,0.766058425904795,0.868302445612984,0.848666285197616,0.928609734147932,1.12061291210635,1.11789200864901,39,0.0807873234871201,0.0888000068133989,0.370687405382426,0.90969,1.0011,1.0011,1.18710412955079,0.0914100000000001,0.186004129550787,0.914927626860369,0.960151942155041,1.03147685641553,1.16255694551754,1.06882706749445,0.247629318657171,0.108675125339413,"S03","S__i:nst____D_B03/s","S__","i:","nst_","D","nasal",1.26963382552794,5,3.9381433445355,"S__i:",9.2525312671774,-0.000614725630892099,-0.200606993344994,4.24639792772788,1.96128775943404,21.0294737526416,12.5402273192713
0.179062226213988,0.774574547396524,0.879052852134784,0.825836344187963,0.933940843175922,1.02759071407724,1.04097223848981,67,0.108340647147339,0.176128121029285,0.432586874977255,0.881814735181076,0.9811,0.9811,1.15357387126143,0.0992852648189241,0.172473871261427,0.845786699008219,0.892248423915559,1.00401716292757,1.1099746653653,1.06559491911675,0.26418796635708,0.173346495201189,"S03","S__i:nst____N_B05/s","S__","i:","nst_","N","nasal",1.18682240914351,5,4.21293022568416,"S__i:",15.9757587974504,-0.000261892017941634,-0.392144230462116,2.50728623482701,1.79610336607552,10.3877613707381,16.9417211498437
0.0615198004705823,0.698928652720137,0.827724062494484,0.75421091752374,0.94426596998222,1.03158431351471,1.062936,26,0.0634470194169243,0.193217082081154,0.378902240849801,0.85637,0.99893,0.99893,1.06445512680227,0.14256,0.0655251268022657,0.870922990164823,0.920265418550945,0.988266681658242,1.10428723226097,1.06050167714782,0.233364242096143,0.140236258596877,"S03","S__i:nt_____A_B02/s","S__","i:","nt__","A","nasal",1.12520082389289,5,4.44365120770294,"S__i:",16.7815828211466,-0.000247926453871061,-0.274744208343742,2.3541193714133,1.75028355315922,16.4613242557472,16.6726880861105
0.120536074745313,0.770797016918831,0.871691212616641,0.796945673017791,0.945148455086449,0.878807787853218,0.920614050594697,50,0.0982909605343031,0.184482112075844,0.379142663324043,0.75173,0.84677,0.84677,0.932881783114973,0.09504,0.0861117831149734,0.733006642330204,0.826293157300255,0.901265167409843,0.96915036562128,0.939153698928594,0.236143723291076,0.112860541628339,"S03","S__i:nt_____D_B04/s","S__","i:","nt__","D","nasal",1.3387181458163,5,3.73491613273919,"S__i:",11.2998721043282,-0.000497362200748142,-0.176960034580218,3.74076287233514,1.78545177299636,12.0572989576004,27.3891343337888
0.190501735700826,0.761320861744649,0.871448184710253,0.788672595650941,0.943651386458771,1.05934445903268,1.116882,91,0.153384367448241,0.179899886995312,0.516036599908172,0.93591,1.0353,1.0353,1.11939608577882,0.0993900000000001,0.0840960857788229,0.914431144138924,0.965257492867082,1.060641028302,1.23500901391572,1.14905568419088,0.320577869776794,0.183798191323799,"S03","S__i:nt_____N_B07/s","S__","i:","nt__","N","nasal",1.16515763189187,5,4.29126485819903,"S__i:",18.5216829926901,-0.000525585130111694,-0.550680669710772,2.32686652744207,1.84508427415946,14.2252771405502,13.8824929963807
0.160561492139032,0.461949774669564,0.676957126514808,0.558293733727172,0.782654866301777,1.02897,1.02897,142,0.116444773037335,0.255770778459614,0.550101302289576,0.88641,0.98208,0.98208,1.031,0.0956699999999999,0.04892,0.851143684486628,0.962530217649442,1.02400877755028,1.18784121981533,1.07400084672287,0.336697535328698,0.111470629073428,"S03","S__o:n__@___F_B10/s","S__","o:","n__@","F","nasal",1.21928293182711,6,4.9209251137543,"S__o:",15.0808952372854,-0.000407955139288041,-0.189442605539887,4.18800802215715,2.06798336064146,11.3636661407711,14.3077751649098
0.167955313920928,0.32391661263971,0.526924642796431,0.504316011865271,0.733134846610718,1.166832,1.15902095545818,112,0.179214011342297,0.279641921859855,0.666292997154197,0.99288,1.1124,1.1124,1.16912924866224,0.11952,0.0567292486622357,1.00530372328058,1.10655558160362,1.1698484193659,1.32078402796406,1.28584626766031,0.315480304683476,0.179290686056695,"S03","S__o:n__@___N_B08/s","S__","o:","n__@","N","nasal",1.39092908787837,6,4.31366347306174,"S__o:",16.8308219546506,-0.000484021973071957,-0.579026360320731,1.98141413394898,1.99363566298803,16.7817434699092,12.7206115756054
